County,County Name,Unit Type Code,Unit Type Name,Unit Code,Unit Name,Fund,Fund Name,2015 Certified Budget,2015 Certified Levy,2014 Certified Net Assessed Valuation,2015 Certified Gross Tax Rate
01,Adams,2,Township,0009,ST. MARYS TOWNSHIP,0101,GENERAL                                 ,"$29,096.00","$25,083.00","$61,781,951.00", 0.04060
01,Adams,2,Township,0009,ST. MARYS TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$11,820.00",$0.00,"$61,781,951.00", 0.00000
01,Adams,2,Township,0009,ST. MARYS TOWNSHIP,1111,FIRE                                    ,"$16,300.00","$13,283.00","$61,781,951.00", 0.02150
01,Adams,2,Township,0009,ST. MARYS TOWNSHIP,1312,RECREATION                              ,"$21,000.00",$0.00,"$61,781,951.00", 0.00000
01,Adams,2,Township,0010,UNION TOWNSHIP,0101,GENERAL                                 ,"$20,959.00","$4,105.00","$57,012,634.00", 0.00720
01,Adams,2,Township,0010,UNION TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$26,774.00",$969.00,"$57,012,634.00", 0.00170
01,Adams,2,Township,0010,UNION TOWNSHIP,1111,FIRE                                    ,"$8,500.00","$6,214.00","$57,012,634.00", 0.01090
01,Adams,2,Township,0010,UNION TOWNSHIP,1190,CUMULATIVE FIRE (Township)                        ,"$9,000.00","$7,526.00","$57,012,634.00", 0.01320
01,Adams,2,Township,0010,UNION TOWNSHIP,1312,RECREATION                              ,"$29,500.00","$22,064.00","$57,012,634.00", 0.03870
01,Adams,2,Township,0011,WABASH TOWNSHIP,0101,GENERAL                                 ,"$36,468.00","$33,913.00","$182,326,272.00", 0.01860
01,Adams,2,Township,0011,WABASH TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$34,522.00","$9,299.00","$182,326,272.00", 0.00510
01,Adams,2,Township,0011,WABASH TOWNSHIP,1111,FIRE                                    ,"$25,450.00","$12,323.00","$82,153,713.00", 0.01500
01,Adams,2,Township,0011,WABASH TOWNSHIP,2010,LIBRARY (NON-LIBRARY UNIT)              ,"$4,960.00","$4,190.00","$82,153,713.00", 0.00510
01,Adams,2,Township,0012,WASHINGTON TOWNSHIP,0061,RAINY DAY,$0.00,$0.00,"$331,521,171.00", 0.00000
01,Adams,2,Township,0012,WASHINGTON TOWNSHIP,0101,GENERAL                                 ,"$109,912.00","$120,674.00","$331,521,171.00", 0.03640
01,Adams,2,Township,0012,WASHINGTON TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$136,773.00","$88,516.00","$331,521,171.00", 0.02670
01,Adams,2,Township,0012,WASHINGTON TOWNSHIP,1111,FIRE                                    ,"$23,115.00","$15,341.00","$97,092,526.00", 0.01580
01,Adams,2,Township,0012,WASHINGTON TOWNSHIP,2010,LIBRARY (NON-LIBRARY UNIT)              ,"$4,800.00","$3,981.00","$97,092,526.00", 0.00410
01,Adams,2,Township,0012,WASHINGTON TOWNSHIP,2120,CEMETERY                                ,"$2,000.00","$1,989.00","$331,521,171.00", 0.00060
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,0061,RAINY DAY,"$25,000.00",$0.00,"$363,022,797.00", 0.00000
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,0101,GENERAL                                 ,"$4,685,828.00","$2,200,281.00","$363,022,797.00", 0.60610
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,0341,FIRE PENSION                            ,"$231,518.00","$110,722.00","$363,022,797.00", 0.03050
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,0342,POLICE PENSION                          ,"$501,223.00","$99,831.00","$363,022,797.00", 0.02750
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,0706,LOCAL ROAD & STREET                     ,"$40,000.00",$0.00,"$363,022,797.00", 0.00000
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,0708,MOTOR VEHICLE HIGHWAY                   ,"$1,220,467.00","$717,696.00","$363,022,797.00", 0.19770
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,1301,PARK & RECREATION                       ,"$612,392.00","$464,669.00","$363,022,797.00", 0.12800
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,2379,CUMULATIVE CAPITAL IMP (CIG TAX)        ,"$55,000.00",$0.00,"$363,022,797.00", 0.00000
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,2391,CUMULATIVE CAPITAL DEVELOPMENT          ,"$350,083.00","$153,559.00","$363,022,797.00", 0.04230
01,Adams,3,City/Town,0453,BERNE CIVIL CITY,0061,RAINY DAY,"$100,000.00",$0.00,"$111,810,281.00", 0.00000
01,Adams,3,City/Town,0453,BERNE CIVIL CITY,0101,GENERAL                                 ,"$1,764,249.00","$835,782.00","$111,810,281.00", 0.74750
01,Adams,3,City/Town,0453,BERNE CIVIL CITY,0342,POLICE PENSION                          ,"$12,000.00",$0.00,"$111,810,281.00", 0.00000
01,Adams,3,City/Town,0453,BERNE CIVIL CITY,0706,LOCAL ROAD & STREET                     ,"$50,000.00",$0.00,"$111,810,281.00", 0.00000
01,Adams,3,City/Town,0453,BERNE CIVIL CITY,0708,MOTOR VEHICLE HIGHWAY                   ,"$507,300.00","$363,048.00","$111,810,281.00", 0.32470
01,Adams,3,City/Town,0453,BERNE CIVIL CITY,2379,CUMULATIVE CAPITAL IMP (CIG TAX)        ,"$50,000.00",$0.00,"$111,810,281.00", 0.00000
01,Adams,3,City/Town,0453,BERNE CIVIL CITY,2391,CUMULATIVE CAPITAL DEVELOPMENT          ,"$110,000.00","$50,874.00","$111,810,281.00", 0.04550
01,Adams,3,City/Town,0520,GENEVA CIVIL TOWN,0061,RAINY DAY,"$12,000.00",$0.00,"$42,349,699.00", 0.00000
01,Adams,3,City/Town,0520,GENEVA CIVIL TOWN,0101,GENERAL                                 ,"$449,223.00","$359,380.00","$42,349,699.00", 0.84860
01,Adams,3,City/Town,0520,GENEVA CIVIL TOWN,0706,LOCAL ROAD & STREET                     ,"$15,000.00",$0.00,"$42,349,699.00", 0.00000
01,Adams,3,City/Town,0520,GENEVA CIVIL TOWN,0708,MOTOR VEHICLE HIGHWAY                   ,"$194,707.00","$145,259.00","$42,349,699.00", 0.34300
01,Adams,3,City/Town,0520,GENEVA CIVIL TOWN,1191,CUMULATIVE FIRE SPECIAL                 ,"$10,000.00","$7,411.00","$42,349,699.00", 0.01750
01,Adams,3,City/Town,0520,GENEVA CIVIL TOWN,2379,CUMULATIVE CAPITAL IMP (CIG TAX)        ,"$4,000.00",$0.00,"$42,349,699.00", 0.00000
01,Adams,3,City/Town,0520,GENEVA CIVIL TOWN,2391,CUMULATIVE CAPITAL DEVELOPMENT          ,"$20,000.00","$19,735.00","$42,349,699.00", 0.04660
01,Adams,3,City/Town,0521,MONROE CIVIL TOWN,0101,GENERAL                                 ,"$233,880.00","$116,494.00","$27,423,190.00", 0.42480
01,Adams,3,City/Town,0521,MONROE CIVIL TOWN,0706,LOCAL ROAD & STREET                     ,"$8,000.00",$0.00,"$27,423,190.00", 0.00000
01,Adams,3,City/Town,0521,MONROE CIVIL TOWN,0708,MOTOR VEHICLE HIGHWAY                   ,"$139,150.00","$47,497.00","$27,423,190.00", 0.17320
01,Adams,3,City/Town,0521,MONROE CIVIL TOWN,1191,CUMULATIVE FIRE SPECIAL                 ,$0.00,"$5,485.00","$27,423,190.00", 0.02000
01,Adams,3,City/Town,0521,MONROE CIVIL TOWN,1301,PARK & RECREATION                       ,"$6,400.00","$3,263.00","$27,423,190.00", 0.01190
01,Adams,3,City/Town,0521,MONROE CIVIL TOWN,2379,CUMULATIVE CAPITAL IMP (CIG TAX)        ,"$1,230.00",$0.00,"$27,423,190.00", 0.00000
01,Adams,3,City/Town,0521,MONROE CIVIL TOWN,2391,CUMULATIVE CAPITAL DEVELOPMENT          ,"$28,237.00",$0.00,"$27,423,190.00", 0.00000
01,Adams,4,School,0015,ADAMS CENTRAL COMMUNITY SCHOOL CORP,0061,RAINY DAY,"$250,000.00",$0.00,"$421,699,610.00", 0.00000
01,Adams,4,School,0015,ADAMS CENTRAL COMMUNITY SCHOOL CORP,0101,GENERAL                                 ,"$7,400,000.00",$0.00,"$421,699,610.00", 0.00000
01,Adams,4,School,0015,ADAMS CENTRAL COMMUNITY SCHOOL CORP,0180,DEBT SERVICE                            ,"$1,195,185.00","$1,146,180.00","$421,699,610.00", 0.27180
01,Adams,4,School,0015,ADAMS CENTRAL COMMUNITY SCHOOL CORP,1214,CAPITAL PROJECTS (School)                       ,"$1,105,726.00","$1,028,104.00","$421,699,610.00", 0.24380
01,Adams,4,School,0015,ADAMS CENTRAL COMMUNITY SCHOOL CORP,6301,TRANSPORTATION                          ,"$754,568.00","$714,359.00","$421,699,610.00", 0.16940
01,Adams,4,School,0015,ADAMS CENTRAL COMMUNITY SCHOOL CORP,6302,BUS REPLACEMENT,"$208,531.00","$196,512.00","$421,699,610.00", 0.04660
01,Adams,4,School,0025,NORTH ADAMS COMMUNITY SCHOOL CORP,0061,RAINY DAY,"$56,988.00",$0.00,"$639,166,008.00", 0.00000
01,Adams,4,School,0025,NORTH ADAMS COMMUNITY SCHOOL CORP,0101,GENERAL                                 ,"$11,745,151.00",$0.00,"$639,166,008.00", 0.00000
01,Adams,4,School,0025,NORTH ADAMS COMMUNITY SCHOOL CORP,0180,DEBT SERVICE                            ,"$3,061,400.00","$2,543,242.00","$639,166,008.00", 0.39790
01,Adams,4,School,0025,NORTH ADAMS COMMUNITY SCHOOL CORP,0186,SCHOOL PENSION DEBT,"$620,463.00","$595,064.00","$639,166,008.00", 0.09310
01,Adams,4,School,0025,NORTH ADAMS COMMUNITY SCHOOL CORP,1214,CAPITAL PROJECTS (School)                       ,"$3,060,960.00","$2,120,753.00","$639,166,008.00", 0.33180
01,Adams,4,School,0025,NORTH ADAMS COMMUNITY SCHOOL CORP,6301,TRANSPORTATION                          ,"$1,014,726.00","$457,004.00","$639,166,008.00", 0.07150
01,Adams,4,School,0025,NORTH ADAMS COMMUNITY SCHOOL CORP,6302,BUS REPLACEMENT,"$328,653.00","$254,388.00","$639,166,008.00", 0.03980
01,Adams,4,School,0035,SOUTH ADAMS SCHOOL CORPORATION,0061,RAINY DAY,"$400,000.00",$0.00,"$398,848,255.00", 0.00000
01,Adams,4,School,0035,SOUTH ADAMS SCHOOL CORPORATION,0101,GENERAL                                 ,"$9,293,269.00",$0.00,"$398,848,255.00", 0.00000
01,Adams,4,School,0035,SOUTH ADAMS SCHOOL CORPORATION,0180,DEBT SERVICE                            ,"$1,896,500.00","$1,719,435.00","$398,848,255.00", 0.43110
01,Adams,4,School,0035,SOUTH ADAMS SCHOOL CORPORATION,1214,CAPITAL PROJECTS (School)                       ,"$1,753,382.00","$1,259,962.00","$398,848,255.00", 0.31590
01,Adams,4,School,0035,SOUTH ADAMS SCHOOL CORPORATION,6301,TRANSPORTATION                          ,"$1,500,000.00","$946,866.00","$398,848,255.00", 0.23740
01,Adams,4,School,0035,SOUTH ADAMS SCHOOL CORPORATION,6302,BUS REPLACEMENT,"$110,000.00","$186,661.00","$398,848,255.00", 0.04680
01,Adams,5,Library,0001,BERNE PUBLIC LIBRARY,0061,RAINY DAY,"$70,000.00",$0.00,"$111,810,281.00", 0.00000
01,Adams,5,Library,0001,BERNE PUBLIC LIBRARY,0101,GENERAL                                 ,"$436,554.00","$262,307.00","$111,810,281.00", 0.23460
01,Adams,5,Library,0001,BERNE PUBLIC LIBRARY,2011,LIBRARY IMPROVEMENT RESERVE             ,"$40,000.00",$0.00,"$111,810,281.00", 0.00000
01,Adams,5,Library,0304,ADAMS PUBLIC LIBRARY SYSTEM,0061,RAINY DAY,"$15,200.00",$0.00,"$405,372,496.00", 0.00000
01,Adams,5,Library,0304,ADAMS PUBLIC LIBRARY SYSTEM,0101,GENERAL                                 ,"$876,000.00","$616,572.00","$405,372,496.00", 0.15210
01,Adams,5,Library,0304,ADAMS PUBLIC LIBRARY SYSTEM,2011,LIBRARY IMPROVEMENT RESERVE             ,"$75,000.00",$0.00,"$405,372,496.00", 0.00000
01,Adams,6,Special,1011,ADAMS COUNTY SOLID WASTE MANAGEMENT,8210,SPECIAL SOLID WASTE MANAGEMENT          ,"$1,469,302.00","$645,194.00","$1,459,713,873.00", 0.04420
02,Allen,1,County,0000,ALLEN COUNTY,0061,RAINY DAY,$0.00,$0.00,"$13,295,341,671.00", 0.00000
02,Allen,1,County,0000,ALLEN COUNTY,0101,GENERAL                                 ,"$73,276,127.00","$60,626,758.00","$13,295,341,671.00", 0.45600
02,Allen,1,County,0000,ALLEN COUNTY,0124,2015 REASSESSMENT,"$595,009.00","$518,518.00","$13,295,341,671.00", 0.00390
02,Allen,1,County,0000,ALLEN COUNTY,0182,BOND #2                                 ,"$4,379,525.00","$4,480,530.00","$13,295,341,671.00", 0.03370
02,Allen,1,County,0000,ALLEN COUNTY,0702,HIGHWAY                                 ,"$10,773,789.00",$0.00,"$13,295,341,671.00", 0.00000
02,Allen,1,County,0000,ALLEN COUNTY,0706,LOCAL ROAD & STREET                     ,"$1,541,513.00",$0.00,"$13,295,341,671.00", 0.00000
02,Allen,1,County,0000,ALLEN COUNTY,0792,COUNTY MAJOR BRIDGE                     ,"$1,646,274.00","$1,715,099.00","$13,295,341,671.00", 0.01290
02,Allen,1,County,0000,ALLEN COUNTY,0801,HEALTH                                  ,"$4,602,342.00","$2,419,752.00","$13,295,341,671.00", 0.01820
02,Allen,1,County,0000,ALLEN COUNTY,2391,CUMULATIVE CAPITAL DEVELOPMENT          ,"$5,000,000.00","$2,659,068.00","$13,295,341,671.00", 0.02000
02,Allen,2,Township,0001,ABOITE TOWNSHIP,0101,GENERAL                                 ,"$126,000.00","$119,898.00","$2,220,341,330.00", 0.00540
02,Allen,2,Township,0001,ABOITE TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$200,000.00","$111,017.00","$2,220,341,330.00", 0.00500
02,Allen,2,Township,0001,ABOITE TOWNSHIP,1101,EMERG AMBUL/MED SERVICES  - FIRE,"$200,000.00","$31,902.00","$911,474,565.00", 0.00350
02,Allen,2,Township,0001,ABOITE TOWNSHIP,1111,FIRE                                    ,"$210,000.00","$195,056.00","$911,474,565.00", 0.02140
02,Allen,2,Township,0001,ABOITE TOWNSHIP,1190,CUMULATIVE FIRE (Township)                        ,"$120,000.00","$117,580.00","$911,474,565.00", 0.01290
02,Allen,2,Township,0001,ABOITE TOWNSHIP,1312,RECREATION                              ,"$118,000.00","$48,848.00","$2,220,341,330.00", 0.00220
02,Allen,2,Township,0002,ADAMS TOWNSHIP,0101,GENERAL                                 ,"$223,950.00","$113,385.00","$766,112,525.00", 0.01480
02,Allen,2,Township,0002,ADAMS TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$414,500.00","$266,607.00","$766,112,525.00", 0.03480
02,Allen,2,Township,0002,ADAMS TOWNSHIP,1092,CUMULATIVE BUILDING                     ,"$1,175.00",$0.00,"$766,112,525.00", 0.00000
02,Allen,2,Township,0002,ADAMS TOWNSHIP,1101,EMERG AMBUL/MED SERVICES  - FIRE,"$54,000.00","$29,456.00","$76,310,499.00", 0.03860
02,Allen,2,Township,0002,ADAMS TOWNSHIP,1111,FIRE                                    ,"$244,000.00","$197,186.00","$76,310,499.00", 0.25840
02,Allen,2,Township,0003,CEDAR CREEK TOWNSHIP,0061,RAINY DAY,"$19,000.00",$0.00,"$542,020,781.00", 0.00000
02,Allen,2,Township,0003,CEDAR CREEK TOWNSHIP,0101,GENERAL                                 ,"$48,700.00","$16,803.00","$542,020,781.00", 0.00310
02,Allen,2,Township,0003,CEDAR CREEK TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$40,000.00","$16,803.00","$542,020,781.00", 0.00310
02,Allen,2,Township,0003,CEDAR CREEK TOWNSHIP,1111,FIRE                                    ,"$110,000.00","$120,249.00","$385,412,236.00", 0.03120
02,Allen,2,Township,0003,CEDAR CREEK TOWNSHIP,1190,CUMULATIVE FIRE (Township)                        ,"$40,000.00","$47,406.00","$385,412,236.00", 0.01230
02,Allen,2,Township,0004,EEL RIVER TOWNSHIP,0101,GENERAL                                 ,"$7,640.00","$8,045.00","$174,884,522.00", 0.00460
02,Allen,2,Township,0004,EEL RIVER TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$7,000.00","$5,421.00","$174,884,522.00", 0.00310
02,Allen,2,Township,0004,EEL RIVER TOWNSHIP,1312,RECREATION                              ,$200.00,$0.00,"$174,884,522.00", 0.00000
02,Allen,2,Township,0005,JACKSON TOWNSHIP,0061,RAINY DAY,$750.00,$0.00,"$55,497,049.00", 0.00000
02,Allen,2,Township,0005,JACKSON TOWNSHIP,0101,GENERAL                                 ,"$7,726.00","$5,605.00","$55,497,049.00", 0.01010
02,Allen,2,Township,0005,JACKSON TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$3,100.00",$0.00,"$55,497,049.00", 0.00000
02,Allen,2,Township,0005,JACKSON TOWNSHIP,1111,FIRE                                    ,"$10,000.00","$8,880.00","$55,497,049.00", 0.01600
02,Allen,2,Township,0005,JACKSON TOWNSHIP,1190,CUMULATIVE FIRE (Township)                        ,"$7,500.00","$5,550.00","$55,497,049.00", 0.01000
02,Allen,2,Township,0006,JEFFERSON TOWNSHIP,0101,GENERAL                                 ,"$21,000.00","$18,425.00","$160,220,793.00", 0.01150
02,Allen,2,Township,0006,JEFFERSON TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$7,800.00",$961.00,"$160,220,793.00", 0.00060
02,Allen,2,Township,0006,JEFFERSON TOWNSHIP,1101,EMERG AMBUL/MED SERVICES  - FIRE,"$30,000.00","$23,204.00","$113,190,985.00", 0.02050
02,Allen,2,Township,0006,JEFFERSON TOWNSHIP,1111,FIRE                                    ,"$91,000.00","$48,899.00","$113,190,985.00", 0.04320
02,Allen,2,Township,0006,JEFFERSON TOWNSHIP,1190,CUMULATIVE FIRE (Township)                        ,"$55,000.00","$20,827.00","$113,190,985.00", 0.01840
02,Allen,2,Township,0006,JEFFERSON TOWNSHIP,1312,RECREATION                              ,"$23,500.00","$14,740.00","$160,220,793.00", 0.00920
02,Allen,2,Township,0007,LAFAYETTE TOWNSHIP,0101,GENERAL                                 ,"$27,155.00","$43,328.00","$341,165,468.00", 0.01270
02,Allen,2,Township,0007,LAFAYETTE TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$9,000.00","$4,776.00","$341,165,468.00", 0.00140
02,Allen,2,Township,0008,LAKE TOWNSHIP,0061,RAINY DAY,"$13,000.00",$0.00,"$123,636,731.00", 0.00000
02,Allen,2,Township,0008,LAKE TOWNSHIP,0101,GENERAL                                 ,"$40,000.00","$22,378.00","$123,636,731.00", 0.01810
02,Allen,2,Township,0008,LAKE TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$20,000.00","$16,938.00","$123,636,731.00", 0.01370
02,Allen,2,Township,0008,LAKE TOWNSHIP,1111,FIRE                                    ,"$26,000.00","$26,458.00","$123,636,731.00", 0.02140
02,Allen,2,Township,0008,LAKE TOWNSHIP,1190,CUMULATIVE FIRE (Township)                        ,"$35,000.00","$15,331.00","$123,636,731.00", 0.01240
02,Allen,2,Township,0008,LAKE TOWNSHIP,1312,RECREATION                              ,"$12,000.00","$11,498.00","$123,636,731.00", 0.00930
02,Allen,2,Township,0009,MADISON TOWNSHIP,0101,GENERAL                                 ,"$17,500.00","$7,692.00","$96,152,668.00", 0.00800
02,Allen,2,Township,0009,MADISON TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$5,000.00",$673.00,"$96,152,668.00", 0.00070
02,Allen,2,Township,0009,MADISON TOWNSHIP,1111,FIRE                                    ,"$97,700.00","$43,461.00","$96,152,668.00", 0.04520
02,Allen,2,Township,0009,MADISON TOWNSHIP,1182,FIRE EQUIPMENT DEBT                     ,"$44,300.00","$20,096.00","$96,152,668.00", 0.02090
02,Allen,2,Township,0009,MADISON TOWNSHIP,1190,CUMULATIVE FIRE (Township)                        ,"$20,000.00","$12,019.00","$96,152,668.00", 0.01250
02,Allen,2,Township,0010,MARION TOWNSHIP,0061,RAINY DAY,"$5,753.00",$0.00,"$149,800,212.00", 0.00000
02,Allen,2,Township,0010,MARION TOWNSHIP,0101,GENERAL                                 ,"$24,554.00","$5,842.00","$149,800,212.00", 0.00390
02,Allen,2,Township,0010,MARION TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$16,400.00","$5,093.00","$149,800,212.00", 0.00340
02,Allen,2,Township,0010,MARION TOWNSHIP,1111,FIRE                                    ,"$64,000.00","$45,839.00","$149,800,212.00", 0.03060
02,Allen,2,Township,0010,MARION TOWNSHIP,1190,CUMULATIVE FIRE (Township)                        ,"$65,000.00","$47,786.00","$149,800,212.00", 0.03190
02,Allen,2,Township,0011,MAUMEE TOWNSHIP,0061,RAINY DAY,"$7,501.00",$0.00,"$91,736,037.00", 0.00000
